,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
71,71,6.0,2025-12-02 14:53:12.555793,2025-12-02 14:53:39.318599,0 days 00:00:26.762806,7,10,,,1,COMPLETE
72,72,0.0,2025-12-02 14:53:39.318709,2025-12-02 14:54:04.765753,0 days 00:00:25.447044,1,6,,,1,COMPLETE
73,73,1.0,2025-12-02 14:54:04.765858,2025-12-02 14:54:28.795055,0 days 00:00:24.029197,2,10,,,1,COMPLETE
74,74,0.0,2025-12-02 14:54:28.795161,2025-12-02 14:54:50.490755,0 days 00:00:21.695594,3,6,,,1,COMPLETE
75,75,10.0,2025-12-02 14:54:50.490864,2025-12-02 14:55:16.063480,0 days 00:00:25.572616,10,5,,,1,COMPLETE
76,76,2.0,2025-12-02 14:55:16.063599,2025-12-02 14:55:43.333143,0 days 00:00:27.269544,4,1,,,1,COMPLETE
77,77,0.0,2025-12-02 14:55:43.333253,2025-12-02 14:56:04.584658,0 days 00:00:21.251405,2,3,,,1,COMPLETE
78,78,4.0,2025-12-02 14:56:04.584766,2025-12-02 14:56:29.090492,0 days 00:00:24.505726,7,3,,,1,COMPLETE
79,79,0.0,2025-12-02 14:56:29.090603,2025-12-02 14:56:51.420120,0 days 00:00:22.329517,3,9,,,1,COMPLETE
80,80,3.0,2025-12-02 14:56:51.420235,2025-12-02 14:57:16.529452,0 days 00:00:25.109217,8,3,,,1,COMPLETE
81,81,10.0,2025-12-02 14:57:16.529571,2025-12-02 14:57:40.440812,0 days 00:00:23.911241,9,8,,,1,COMPLETE
82,82,4.0,2025-12-02 14:57:40.440922,2025-12-02 14:58:10.020941,0 days 00:00:29.580019,3,9,,,1,COMPLETE
83,83,0.0,2025-12-02 14:58:10.021061,2025-12-02 14:58:33.337722,0 days 00:00:23.316661,3,5,,,1,COMPLETE
84,84,0.0,2025-12-02 14:58:33.337831,2025-12-02 14:58:55.726669,0 days 00:00:22.388838,3,2,,,1,COMPLETE
85,85,10.0,2025-12-02 14:58:55.726779,2025-12-02 14:59:23.380377,0 days 00:00:27.653598,10,2,,,1,COMPLETE
86,86,0.0,2025-12-02 14:59:23.380482,2025-12-02 14:59:45.402108,0 days 00:00:22.021626,3,6,,,1,COMPLETE
87,87,10.0,2025-12-02 14:59:45.402223,2025-12-02 15:00:24.823059,0 days 00:00:39.420836,6,4,,,1,COMPLETE
88,88,3.0,2025-12-02 15:00:24.823171,2025-12-02 15:00:49.636156,0 days 00:00:24.812985,7,6,,,1,COMPLETE
89,89,3.0,2025-12-02 15:00:49.636331,2025-12-02 15:01:15.105942,0 days 00:00:25.469611,8,10,,,1,COMPLETE
90,90,1.0,2025-12-02 15:01:15.106058,2025-12-02 15:01:38.837273,0 days 00:00:23.731215,5,10,,,1,COMPLETE
91,91,3.0,2025-12-02 15:01:38.837379,2025-12-02 15:02:05.360236,0 days 00:00:26.522857,7,1,,,1,COMPLETE
92,92,5.0,2025-12-02 15:02:05.360348,2025-12-02 15:02:33.143251,0 days 00:00:27.782903,8,10,,,1,COMPLETE
93,93,10.0,2025-12-02 15:02:33.143365,2025-12-02 15:02:57.297888,0 days 00:00:24.154523,10,8,,,1,COMPLETE
94,94,1.0,2025-12-02 15:02:57.297991,2025-12-02 15:03:23.139644,0 days 00:00:25.841653,3,10,,,1,COMPLETE
95,95,0.0,2025-12-02 15:03:23.139766,2025-12-02 15:03:49.546771,0 days 00:00:26.407005,3,8,,,1,COMPLETE
96,96,0.0,2025-12-02 15:03:49.546879,2025-12-02 15:04:12.679411,0 days 00:00:23.132532,1,6,,,1,COMPLETE
97,97,2.0,2025-12-02 15:04:12.679531,2025-12-02 15:04:40.827786,0 days 00:00:28.148255,5,9,,,1,COMPLETE
98,98,3.0,2025-12-02 15:04:40.827894,2025-12-02 15:05:07.583467,0 days 00:00:26.755573,7,2,,,1,COMPLETE
99,99,6.0,2025-12-02 15:05:07.583575,2025-12-02 15:05:33.828379,0 days 00:00:26.244804,8,2,,,1,COMPLETE
